,base_text,model,prediction,confidence
0,"Fire performance refers to the ability of a material or building component to resist and control the spread of fire. In Indonesia, fire performance is regulated by the National Building Code (NBC) and the National Building Material Standard (SNI). The NBC includes provisions for fire resistance in buildings, while SNI provides standards for fire-resistant materials such as steel, concrete, and wood.

Fire performance testing involves subjecting a material or building component to high temperatures and flame exposure to evaluate its ability to resist and control the spread of fire. This is done using standardized test methods and equipment, such as the UL 790 Standard for Fire Tests of Building Materials and Assemblies.

In Indonesia, fire performance testing is mandatory for buildings that exceed a certain height or area, and it is also required for materials used in construction, such as steel beams and concrete blocks. The results of these tests are then used to determine the fire resistance rating of the material or building component.

Fire",falcon,ai,0.9997904215141321
1,"Rafael Lima is a former Brazilian football player who played as a midfielder. He was born on May 27, 1969, in Rio de Janeiro, Brazil. Lima began his professional career with Flamengo in 1987 and made over 100 appearances for the club before moving to Corinthians in 1993. He won several titles with Corinthians, including two Copa Libertadores in 1994 and 1995.

Lima also played for the Brazilian national team from 1993 to 2001, making a total of 47 appearances and scoring three goals. He was part of the squad that won the gold medal at the 1996 Summer Olympics in Atlanta, Georgia.

After retiring from playing, Lima became a coach and worked with several clubs in Brazil, including Corinthians, Flamengo, and Botafogo. He also had a brief stint as an assistant coach for the Brazilian national team.

Lima is known for his technical skills on",falcon,ai,1.0
2,"Edward Goljan is a medical student at the University of California, San Francisco (UCSF) who has gained recognition for his contributions to medical education and patient care. He is known for his work in developing innovative teaching methods and improving clinical skills among medical students.

Goljan's educational background includes a Bachelor of Arts degree from the University of California, Berkeley, and a Master of Public Health degree from the Harvard School of Public Health. He also completed his medical education at UCSF, where he was elected to Alpha Omega Alpha Honor Society.

In addition to his academic achievements, Goljan has been recognized for his contributions to patient care. He has received numerous awards and honors for his work in improving clinical skills among medical students and residents.

Goljan's research interests include medical education, clinical skills assessment, and the use of technology in healthcare. He is also involved in various community outreach programs aimed at promoting health literacy and reducing disparities in access to care.",falcon,ai,1.0
3,"Valdivia is a city located in the Biobio Region of Chile, in the southern part of the country. It has a population of approximately 120,000 people and is known for its beautiful beaches, parks, and historic architecture. The city was founded in 1886 and is named after Juan Valdivia, a Spanish explorer who discovered the region in the early 18th century.

Valdivia is also known for its cultural festivals, including the annual Festival Internacional de Música de Valdivia, which attracts musicians from around the world to perform in various venues throughout the city. The city's economy is primarily based on agriculture and tourism, with many visitors coming to see the region's natural beauty and historic landmarks.

Valdivia has a rich history dating back to its founding in 1886, when it was established as a port town for exporting timber and other resources from the surrounding forests. The city has since grown into a vibrant community",falcon,ai,1.0
4,"The Beijing Jazz Festival is an annual music festival held in Beijing, China. It was first held in 1994 and has since become one of the most prestigious jazz festivals in Asia. The festival features performances by both local and international jazz musicians, as well as workshops, masterclasses, and other events related to jazz education and culture. The festival takes place over several days and is attended by thousands of people each year.",falcon,ai,0.9997932945046397
5,"Indian Bank Recreational Club is a recreational club that provides various activities and facilities for its members to enjoy their leisure time. It offers a range of indoor and outdoor sports, fitness programs, and social events to promote physical and mental well-being among its members. The club also organizes cultural and educational activities to enhance the overall development of its members.",falcon,ai,1.0
6,"Binnsville is a small unincorporated community located in Perry County, Mississippi. It has a population of approximately 200 people and is situated along the Mississippi River. The community is known for its historic homes and beautiful scenery. Binnsville is home to several parks and recreational areas, including the Binnsville Community Park and the Binnsville Historic District. The area is also popular among fishermen, as it offers access to the Mississippi River and numerous lakes and streams. Despite its small size, Binnsville has a rich history and culture that is celebrated by its residents and visitors alike.",falcon,ai,0.8377984952181409
7,"Big Top Scooby-Doo! is an animated television series that aired on The CW from September 10, 2015, to January 1, 2016. It follows the adventures of a young girl named Daphne Blake and her dog, Scooby-Doo, as they travel around the world in search of mysteries to solve.

The show is set in a circus setting, with the characters living in a big top tent called the ""Big Top Scooby-Doo!"" They are joined by other circus performers, including a trapeze artist named Penny and a clown named Clowny.

Throughout the series, the characters encounter various mysteries and villains, such as a ghostly pirate named Captain Hook and a villainous ringmaster named Mr. Big Top. They use their wits and teamwork to solve these problems and save the day.

Big Top Scooby-Doo! was created by Paul McCusker and Michael Rubens, who",falcon,ai,1.0
8,"The Chestnut-headed Chachalaca is a large, flightless bird native to South America. It has a distinctive chestnut head and a long, curved beak that it uses to feed on ants and termites in the forest floor. The chachalaca is known for its loud calls and unique behavior of using its beak to dig into the ground to find insects. They are often seen in groups and can be found in open forests, savannas, and agricultural areas.",falcon,ai,1.0
9,"K. V. Kunhiraman is a well-known Indian author who has written several books on various topics such as history, culture, and politics. He was born on July 1, 1925, in Kerala, India, and passed away on March 25, 2018. He is known for his contributions to the field of literature and his ability to capture the essence of Indian society through his writing. His works have been translated into several languages and are widely read across the world.",falcon,ai,0.8379456563626437
10,"Lemhi County is a county located in the southern part of the state of Idaho in the United States. It was named after the Lemhi people, who were an indigenous group that lived in the area during the 19th century. The county has a population of approximately 8,000 residents and covers an area of 1,390 square miles.

Lemhi County is known for its rugged terrain, including mountains, forests, and rivers. It is home to several outdoor recreational activities, such as hiking, fishing, hunting, and skiing. The county also has a rich history, with many historic sites and landmarks that attract visitors from all over the world.

The economy of Lemhi County is primarily based on agriculture, including cattle ranching, farming, and timber harvesting. There are also several small businesses in the area, such as restaurants, shops, and service providers. The county has a low crime rate and offers a high quality of life for its residents.

Lem",falcon,ai,0.9997932945046397
11,"Bruce Arnott is a Canadian author who was born on May 25, 1952, in Toronto, Canada. He is best known for his novel ""The Unseen,"" which was published in 1995 and won the Governor General's Award for English-language fiction. Arnott has also written several other novels, including ""The Uninvited Guest"" and ""The Lost City."" In addition to his writing career, Arnott is a professor of creative writing at the University of British Columbia.",falcon,ai,1.0
12,"The Stuckists Punk Victorian refers to a movement of artists and writers who reject the idea that art should be separated from life, and instead embrace the idea that art can be used to express social and political issues. This movement emerged in the late 1990s and early 2000s, and is characterized by its use of satire, irony, and humor to critique contemporary society. The Stuckists Punk Victorian also emphasizes the importance of collaboration and community-building among artists and activists.",falcon,ai,0.9997932945046397
13,"Charles John Carter was an English author and playwright, born on May 12, 1869, in London, England. He is best known for his play ""The Lady's Not Dead,"" which premiered in 1901 and became a popular success. Carter was also a prolific writer of short stories and novels, including ""The Lady of the Aroostook"" and ""The Life and Death of Colonel Blood."" He died on November 15, 1926, at the age of 57.",falcon,ai,1.0
14,"The South Australian Railways locomotives 1-3 were a series of steam locomotives used by the South Australian Railways between 1875 and 1926. They were numbered 1, 2, and 3, respectively, and were built by the company's own workshops in Adelaide.

The locomotives were designed to haul passenger trains on the main line from Adelaide to Melbourne, and were also used for express services and freight hauling. They had a total of 15 locomotives in the series, with each one having its own unique features and characteristics.

Locomotive 1 was built in 1875 and was the first locomotive in the series. It was designed to haul passenger trains on the main line from Adelaide to Melbourne, and was known for its speed and reliability. It had a 4-6-0 wheel arrangement and weighed approximately 16 tons.

Locomotive 2 was built in 1877",falcon,ai,0.9997932945046397
15,"Little Landers is a term used to describe a small, insignificant or unimportant person or thing. It is often used to describe someone who is not very important or influential.",falcon,ai,0.7932264695998812
16,"Grand America Hotel is a historic hotel located in Salt Lake City, Utah. It was built in 1916 and has been listed on the National Register of Historic Places since 1988. The hotel features over 1,000 guest rooms, including suites and penthouses, as well as several restaurants, bars, and lounges. It is also home to a large ballroom that can accommodate up to 2,000 guests for events such as weddings and conferences.",falcon,ai,1.0
17,"Ramu is a 1968 Indian Telugu-language action drama film directed by K. Viswanath and produced by S. S. Rajan. The film stars Chiranjeevi, Vijayashanti, and Shobha in lead roles. The story revolves around the life of Ramu, a young man who lives with his family in a small village in Andhra Pradesh. He dreams of becoming a doctor but is forced to take up a job as a driver due to financial constraints. However, he soon realizes that his true calling lies in politics and decides to contest for the local panchayat president post.

Ramu's political journey takes him through various obstacles and challenges, including opposition from the ruling party and interference from corrupt politicians. Despite facing numerous setbacks, Ramu remains determined to make a difference in his village and eventually wins the election. The film showcases Chiranjeevi's acting prowess as he delivers an outstanding performance that captures the audience's attention throughout",falcon,ai,0.9997932945046397
18,"The Cunningham Cabin is a historic cabin located in the Blue Ridge Mountains of Virginia, USA. It was built in the early 1800s and served as a residence for several generations of the Cunningham family. The cabin is now open to visitors and offers a glimpse into the lives of those who lived there over two centuries ago.",falcon,ai,0.7928338316129353
