0,Americium-241,"Americium-241 (Am, Am-241) is an isotope of americium. Like all isotopes of americium, it is radioactive, with a half-life of 432.2 years. Am is the most common isotope of americium as well as the most prevalent isotope of americium in nuclear waste. It is commonly found in ionization type smoke detectors and is a potential fuel for long-lifetime radioisotope thermoelectric generators (RTGs). Its common parent nuclides are from Pu, EC from Cm, and from Bk. Am is fissile and the critical mass of a bare sphere is 57.6-75.6 kilograms and a sphere diameter of 19-21 centimeters. Americium-241 has a specific activity of 3.43 Ci/g (curies per gram or 126.8 gigabecquerels (GBq) per gram). It is commonly found in the form of americium-241 dioxide (AmO). This isotope also has one meta state, Am, with an excitation energy of 2.2 MeV and a half-life of 1.23 s. The presence of americium-241 in plutonium is determined by the original concentration of plutonium-241 and the sample age. Because of the low penetration of alpha radiation, americium-241 only poses a health risk when ingested or inhaled. Older samples of plutonium containing plutonium-241 contain a buildup of Am. A chemical removal of americium-241 from reworked plutonium (e.g. during reworking of plutonium pits) may be required in some cases.",2021-08-07T17:17:36Z
1,World_record_progression_100_metres_freestyle,"The first world record in the 100 metres freestyle in long course (50 metres) swimming was recognised by the International Swimming Federation (FINA) in 1905. In the short course (25 metres) swimming events the world's governing body recognizes world records since 3 March 1991. Times have consistently dropped over the years due to better training techniques, new developments in the sport and swimwear changes (e.g. Goggles were not widely used until the 1970s, providing for considerable expansion of practice/training time.) In the first four Olympics competitions were not held in pools, but rather in open water (1896- The Mediterranean Sea, 1900- The Seine River, 1904- an artificial lake, 1906- The Mediterranean Sea). The 1904 Olympics freestyle race was the only one ever measured at 100 yards, instead of the usual 100 metres. A 100-metre pool was built for the 1908 Olympics and sat in the centre of the main stadium's track and field oval. The 1912 Olympics, held in the Stockholm harbour, marked the beginning of electronic timing. Male swimmers wore full body suits up until the 1940s, which caused more drag in the water than their modern swim-wear counterparts. Also, over the years, pool designs have lessened the drag. Some design considerations allow for the reduction of swimming resistance making the pool faster. Namely, proper pool depth, elimination of currents, increased lane width, energy absorbing racing lane lines and gutters, and the use of other innovative hydraulic, acoustic and illumination designs. In 2008, leading up to the Olympics, Speedo introduced a 50% Polyurethane suit dubbed LZR. Pure polyurethane suits from Arena (X-Glide), Adidas (Hydrofoil) and Italian suit manufacturer, Jaked were thought to be largely responsible for the multiple World Records in 2009 including at the 2009 World Aquatics Championships (dubbed the ""Plastic Games""). FINA announced a ban on non-textile suits that took effect on January 2010. The 1924 Summer Olympics were the first to use the standard 50 metre pool with marked lanes. In the freestyle, swimmers originally dived from the pool walls, but diving blocks were eventually incorporated at the 1936 Summer Olympics. The tumble turn (""flip-turn"") was developed by the 1950s.",2021-12-28T12:36:24Z
2,Coed_Coch,"Coed Coch, in Dolwen, Conwy, Wales, is a large 19th-century mansion in the neoclassical style, designed by the architect Henry Hakewill. The building is Grade II* listed, as is its 18th- and 19th-century parkland. The mansion is of ashlar, originally with two matching, three-bay elevations. At a diagonal, was a ""remarkable"" Greek Doric portico, with pediment. This was removed in the early 20th century. The main elliptical staircase remains within a rotunda and lit by a small lantern dome. The original parkland ""survives in its entirety"". The Coed Coch estate came to the Wynne family when the Rev. Richard Wynne married Gaynor, daughter and heiress of John Wynne of Coed Coch, in the parish of Betws yn Rhos. Their grandson, John Lloyd Wynne (1776-1887) undertook the enlargement of the house and estate in the early 19th century. The estate then descended in the male line until the death in World War I of Edward Henry John Wynne (1893-1916). The estate was inherited by Margaret Broderick, his half-sister, who ran a famous Welsh Mountain Pony stud there that continued under her descendants until its sale in 1978. From the 1940s until the 1970s, the house was a boys' preparatory school, Heronwater School, under the headmastership of Keith Gaskell. The estate is now a private home and is not open to the public. In 1996 the furniture from the library, commissioned by John Lloyd Wynne from Gillows of Lancaster in 1806-1807, was bought by the Museum of Welsh Life in Cardiff; it can now be seen in the library of St Fagans Castle.",2021-12-30T23:00:25Z
3,Alfred_Hopkinson,"Sir Alfred Hopkinson (28 June 1851 - 11 November 1939) was an English lawyer, academic and politician who served as a Member of Parliament (MP) for two three-year periods, separated by nearly thirty years. He was the son of John Hopkinson, a mechanical engineer, and among his brothers were John Hopkinson, a physicist and electrical engineer, and Edward Hopkinson, an electrical engineer and MP. He first stood for election to the House of Commons at the 1885 general election, when he was the unsuccessful Liberal Party candidate in Manchester East. He was unsuccessful again as a Liberal Unionist candidate at the 1892 general election, when he stood in Manchester South-West. Hopkinson finally won a seat at the 1895 general election, when he was elected as MP for Cricklade in Wiltshire. He resigned from Parliament in February 1898, by the procedural device of accepting appointment as Steward of the Chiltern Hundreds. Hopkinson was Vice-Chancellor of the Victoria University from 1901 to 15 July 1903 and then of the Victoria University of Manchester until 1913. In December 1914 he was appointed to the Committee on Alleged German Outrages, which in May 1915 reported on German war crimes against civilians during the invasion of Belgium in the opening months of World War I. He received the honorary Doctor of Laws (LL.D) from the University of Glasgow in June 1901. He returned to Parliament in March 1926, when he won a by-election for the Combined English Universities as a Conservative. He did not contest the 1929 general election. A sculpture of him by John Cassidy was exhibited at Manchester in 1912. His son Austin Hopkinson also became a Member of Parliament. One of his daughters married Sir Gerald Hurst M.P.",2021-08-15T16:21:20Z
4,Khalifa,"Khalifa or Khalifah (Arabic:) is a name or title which means ""successor"", ""ruler"" or ""leader"". It most commonly refers to the leader of a Caliphate, but is also used as a title among various Islamic religious groups and others. Khalifa is sometimes also pronounced as ""kalifa"". There were four khalifas after Prophet Muhammed died, beginning with Abu Bakr. This was a difficult decision for the people to make, for no one except Prophet Mohammed had ever thought with foresight about who would rule after he would die. The Khilaafat (or Caliphate) was then contested and gave rise to the eventual division of the Islamic Umma into two groups, the Sunni and the Shi'a who interpret the word, Khalifa in differently nuanced ways. The earliest Islamic uses include Khaleefa(h) in The Qur'an, 2: 30, where Allah commands the angels to bow down to Adam which more clearly guides to the root Classical Arabic meaning of the word as ""Vicegerent"", or divinely connected representative of Allah in the human form as a mercy to mankind. See also how this meaning interacts with the word, Shirk (associating a partner or partners to Allah) by (for example) bowing down to them (in this case, Adam) with reverence. ""Vicegerent"", therefore, is more at ""divinely-guided spokesman"" than ""deputy"" in this context and leads to the discovery of the role of Imam in Islam, from the Shi'i or Shi'a point of view where, it is claimed, the spiritual Khilaafat or designation of Khaleefa in this meaning of spiritual and temporal guide falls upon the first Imam, 'Ali ibn Abi Talib, ""the favourite"" (who received his mission from his cousin Muhammed himself but who also conceded the Khilaafat to the election and claim of the politically more powerful and more popular leader and his senior, Abu Bakr). In the Shi'i tradition, however, the dissolved claim to the Khilaafat by Shi'i thereafter crystallised into Imamat which continued with his descendants after him through appointment by nass, or designation).",2021-12-23T02:49:48Z
5,Philippine_hawk-cuckoo,"The Philippine hawk-cuckoo (Hierococcyx pectoralis) is a bird belonging to the cuckoo family. It is found only in the Philippines. It was formerly classified as a subspecies of Hodgson's hawk-cuckoo (H. fugax) but is now commonly treated as a separate species based on differences in vocalizations. It is a medium-sized cuckoo, about 29 centimetres in length. The adult is dark-grey above and white below with a pale rufous breast and upper belly. The tail has three or four black and buff bars, a broad black band near the tip and a pale rufous tip. There is a bare yellow ring around the eye. The legs and feet are also yellow and the bill is black and olive. Immature birds have rufous barring above and brown streaks below. The bird has a high-pitched call of five to seven notes. The call lasts for about 1.5 seconds and is repeated up to 10 times, becoming louder and faster. It is found on most of the larger islands of the Philippines, occurring up to 2, 300 metres above sea-level. It inhabits forest and forest edge where it forages from near the ground up to the treetops. It is an uncommon bird and is usually shy and difficult to see. Its breeding season begins in April.",2021-11-12T06:00:20Z
6,Sephu_Gewog,"Sephu Gewog (Dzongkha: r-u-, also transliterated as Saephoog Gewog is a gewog (village block) of Wangdue Phodrang District, Bhutan. At an altitude ranging from 2600 to 3500 meters above sea level, Saephoog gewog is situated en route to Trongsa, located north eastern part of Wangduephodrang dzongkhag. One can reach Saephoog gewog centre after three hours' drive from Wangdue dzongkhag by passing the rough highway road, made due to the stone quarry and road widening along the highway. The gewog comprises five chiwogs (Buso-Zeri, Rukubjee, Longtoed, Bumilog and Nakha) with a total of 331 households, and a population of 1505 people. Saephoog consists of an estimated area of 110801.221758 ha, the largest among the other gewogs under Wangdue. The chiwogs are scattered away from each other but the households under individual chiwogs are nucleated. Saephoog Gewog enjoys a temperate climate with mostly rugged terrain and snow fall during winter. The Gewog has high potential for livestock and has established one milk processing unit one at Rukubjee. Potato cultivation dominates among the agriculture farming activities and most of the production were sold to Punatshangchu project through farmers group. During the cordyceps season (June) the villagers used to migrate to the highlands for cordyceps collection leaving behind those who can't afford to walk. The Gewog Administration used to issue three permits per household for the duration of one month. It is one of the main sources of income for Saephoog farmers. Most of the villages under Saephoog enjoy the basic needs like electricity, rural water supply scheme, farm roads and telecommunication. Total the gewog has connected approximately 45.52 km of farm roads to villages as of now, which made it easier for farmers to transport their products to the nearest market. Government infrastructure such as schools, RNR and a Basic health unit was also established for service delivery. A Community Centre with facilities such as photocopy, half photo and internet was operational in the year 2013 with one operator, and benefits the farmers in terms of time consumption and transportation expenses. Out of 7 communities and 2 privately owned lhakhang, The WangdueGoenpa lhakhang has a monastic education centre at present.",2021-01-02T02:10:16Z
7,Raavi_Kondala_Rao,"Raavi Kondala Rao (11 February 1932 - 28 July 2020) was an Indian film actor, playwright, theatre artist, journalist, editor, producer, director and writer who appeared in Telugu films and performed in over 600 movies. Veteran actress Radha Kumari was his wife. His brother R Kaameshwara rao was a leading dubbing artist. He used to write articles for Mahodaya weekly newspaper. He worked as sub editor for Aanandavani weekly magazine in Visakhapatnam. He was a writer of Paata bangaram in Sitara magazine, owned by Eenadu groups. He used to write cinema articles for Andhra Jyothi, Vijaya Chitra. He worked for Vijaya Chitra for 26 years. He won Nandi Award for Best Story Writer for Pelli Pusthakam (1991) & also won Nandi Award for Best Book on Telugu Cinema for Black and White. His father was a postmaster, as retired at Srikakulam. Raavi Kondala Rao's education has been done in Srikakulam. He participated in satyagraha in 1948 in Rajahmundry a city in Andhra Pradesh against the ban on RSS and Hindu Mahasammelan and as has been kept in jail for three months. In free time in Rajahmundry's jail he read lots of books on literature. He wrote stories in the name of 'mana oohalu', a few stories has been published in Chandamama. Kodavatiganti Kutumba Rao, was his inspiration for writing. Later, he was encouraged by Mullapudi Venkata Ramana, Gutha Ramineedu to act in movies and Mullapudi Venkata Ramana gave his first chance in movie Dagudu Moothalu. He also worked as assistant director for B. N. Reddy, Kamalakara Kameswara Rao, D. V. Narasa Raju. He always like the character played in the movie Preminchi Choodu. The legendary actor S. V. Ranga Rao used to call him as ""Pantulu"".",2021-12-20T15:15:39Z
8,Apodaca,"Apodaca is a city and its surrounding municipality that is part of Monterrey Metropolitan area. It lies in the northeastern part of the Monterrey Metropolitan Area. It is known for becoming recently a heavy industrialized city. As of 2019, the city houses 70% of the industrial plants of the state of Nuevo Leon. Apodaca is as well the fourth most exporting city in Mexico. The municipality has an area of 183.5 km. The population has recently increased from around 115, 000 people in 1990 to almost 600, 000 in 2015. Being one of the fastest-growing territories in terms of population in the Metropolitan Area, becoming the third most populous municipality as of 2015. The municipality houses as well Monterrey International Airport. Which is considered to be the fourth most important in the country. The airport is as well one of the main employers in the municipality.",2021-11-01T17:01:54Z
9,Roger_Miret_and_the_Disasters,"Roger Miret and the Disasters are a street punk group formed by Agnostic Front frontman Roger Miret. The band started when Miret was writing songs that were not a style suitable for Lady Luck (a band fronted by his wife Denise) or Agnostic Front, so he starting recording them on his own on a Boss recorder. Johnny Rioux had previously mentioned he would like to work with him, so Rioux helped Miret on what originally started as a solo project. Then Miret met Rhys Kill, who liked the material and joined in on the project. The band then recorded a demo tape, with Miret and Kill on guitar, Rioux on bass and Matt Kelly from the Dropkick Murphys on drums. That six-song demo found reviewed by Lars Frederiksen, who passed it off to his Rancid bandmate Tim Armstrong. He asked Miret to put his project out on Hellcat Records. As Kelly could not continue with Miret due to his commitments with Dropkick Murphys, Miret asked Johnny Kray of The Krays and New York Rel-X to join on drums. After a couple rehearsals, they decided to make it a band. Their first recorded appearances were in 2001, with ""It's Alright"", from the six-song demo with Matt Kelly, appearing on Scene Killer 3 and covers of Cock Sparrer's ""England Belongs to Me"" (dubbed ""New York Belongs to Me"") and Blitz's ""Voice of a Generation"" appearing on The Worldwide Tribute to the Real Oi! Volume 2. Their debut release was their self-titled album, which came out in September 2002. The band's first lineup change came with Joey Nails replacing Rioux on bass by August 2003. It was then announced in January 2004 that Chris Watson replaced Nails and then Brian Darwas took over for drums as of April 2004, leaving only Miret and Kill as original members. Following one more lineup change, with Darwas moving over to bass and Mike Mulieri taking over drums as of September 2004, the band recorded their second album in Fall 2004. The album, 1984, was released early the next year and became their last release on Hellcat. The next year, they released My Riot on Sailor's Grave Records. In January 2011, the band released their fourth album, Gotta Get Up Now, on German label People Like You Records.",2021-12-03T03:51:36Z
