,base_text,sumy_pos,sumy
0,"Khalifa is an Arabic word that refers to a successor or a regent, often used in the context of Islamic leadership. It has multiple meanings and can be applied to various situations. Here are 10 sentences explaining the term Khalifa:

1. In Islamic history, a Khalifa (or Caliph) is a leader who succeeds a prophet or an Imam in guiding the Muslim community.
2. The first four Khalifas were companions of Prophet Muhammad and are known as the ""Rightly Guided Caliphs.""
3. A Khalifa can also refer to any person who holds authority over a territory or group, such as a governor or regent.
4. In some cases, the term Khalifa is used to denote a wealthy or influential person, similar to the English word ""tycoon"" or ""magnate.""
5. The","[13, 4, 7, 1, 9, 12, 17, 2, 7, 9, 6, 7, 1, 14, 3, 17, 2, 7, 9, 2, 1, 9, 14]","Khalifa is an Arabic word that refers to a successor or a regent, often used in the context of Islamic leadership."
1,"Apodaca is a city located in the state of Nuevo León, Mexico. It is part of the Monterrey metropolitan area and serves as an important industrial and commercial center for the region. The city has a rich history dating back to its founding by Spanish settlers in 1598. Apodaca is known for its vibrant culture, which includes various festivals and events throughout the year that celebrate Mexican traditions and customs. Some of these events include the Festival de las Calaveras (Festival of Skulls), Día de los Muertos (Day of the Dead), and Navidad en la Calle (Christmas in the Street). The city is also home to several educational institutions, such as the Autonomous University of Nuevo León, which contribute to its reputation as a hub for innovation and research. In addition to its industrial and commercial activities, Apodaca has numerous parks and natural areas","[13, 4, 7, 9, 17, 2, 7, 9, 2, 13, 13, 14, 13, 14]","Apodaca is a city located in the state of Nuevo León, Mexico."
2,"Jolina is a Filipino singer, actress, and television host who gained fame through her appearances on various TV shows and music albums. She was born on May 19, 1988, in Manila, Philippines. Jolina started her career as a child star when she joined the children's gospel group ""Holy Child"" at the age of six. As she grew older, she ventured into acting and became part of several TV shows such as ""Gimik,"" ""Tropang Trumpo,"" and ""Love Notes."" Jolina is also known for her music career, having released multiple albums like ""Jolina"" (1997), ""Dear Diary"" (2004), and ""Sweet Delilah"" (2013). She has won several awards throughout her career, including the 1998 Star Award for Best Female Artist. Jolina is","[13, 17, 12, 9, 2, 7, 9, 9, 15, 12, 17, 7, 9, 11, 9, 9, 14, 13, 13, 14, 2, 7, 9, 2, 10, 14]","Jolina started her career as a child star when she joined the children's gospel group ""Holy Child"" at the age of six."
3,"Chattuarii is an ancient Roman unit of measurement used to measure length or distance. It was equivalent to approximately 250 meters, which is roughly 820 feet. The term ""chattuarii"" comes from the Latin word ""chattus,"" meaning a hundredth part. This suggests that it may have originally been based on dividing a mile into one thousand equal parts, each being one chattus or one-thousandth of a mile. However, over time, the definition changed and became more standardized as 250 meters. Chattuarii was commonly used in military contexts for measuring distances between camps, marches, and other related activities. It played an essential role in Roman military strategy and logistics, allowing soldiers to estimate their progress and plan accordingly. Additionally, chattuarii was also utilized in civil engineering projects such as road construction and surveying land plots. The use of","[13, 4, 7, 1, 1, 9, 2, 9, 17, 11, 17, 9, 6, 9, 14]",Chattuarii is an ancient Roman unit of measurement used to measure length or distance.
4,"Aneflus is an informal term that refers to a situation where someone has made multiple mistakes or failed at something repeatedly, often due to carelessness or lack of attention. It can also be used as a verb meaning ""to mess up"" or ""to fail."" The word originates from the combination of ""ane,"" which means ""one"" in some languages, and ""fleas,"" which are small parasitic insects that often infest animals and can cause irritation. This term is not widely recognized or used outside of casual conversation, but it serves as a humorous way to describe someone's misfortunes or failures.","[13, 4, 7, 1, 9, 12, 17, 2, 7, 9, 15, 12, 4, 17, 1, 9, 6, 17, 2, 12, 3, 14, 3, 1, 2, 9, 6, 9, 2, 9, 14]","Aneflus is an informal term that refers to a situation where someone has made multiple mistakes or failed at something repeatedly, often due to carelessness or lack of attention."
5,"Stretton-under-Fosse is a small village located in Warwickshire, England. It lies near the River Avon and is part of the civil parish of Brandon and Stretton-under-Fosse. The village has a rich history dating back to Anglo-Saxon times, with evidence of early settlements found nearby. 

The name ""Stretton"" comes from Old English and means ""street farmstead or town."" The term ""under-Fosse"" refers to its location beneath the Fosse Way, an ancient Roman road that runs through the area. This road was later used by medieval pilgrims traveling between Canterbury and St. Albans.

Stretton-under-Fosse is known for its picturesque landscape, featuring rolling hills, lush meadows, and wooded areas. The village has a few local amenities such as a post office, pub","[7, 9, 17, 7, 1, 9, 17, 3, 2, 1, 14, 13, 9, 14, 2, 9, 2, 1, 9, 17, 3, 14]","The village has a rich history dating back to Anglo-Saxon times, with evidence of early settlements found nearby."
6,"Helluomorphoides is a genus of beetles belonging to the family Cerambycidae, which includes longhorn beetles. These insects are characterized by their elongated bodies and distinctive antennae that can be as long as or longer than their body length. They have various colors and patterns on their exoskeletons, such as black, brown, yellow, or white, often with contrasting markings.

These beetles are typically found in forests, where they feed on dead or decaying wood, playing a crucial role in the ecosystem by breaking down and recycling organic matter. Their larvae also contribute to this process, as they burrow into the wood and consume it from within.

Helluomorphoides species can be found across various regions, including Europe, Asia, Africa, and North America. Some well-known examples of Helluomorphoide species","[12, 17, 1, 9, 6, 9, 2, 12, 9, 14, 1, 2, 1, 14, 1, 14, 1, 14, 6, 1, 14, 3, 2, 17, 9, 14]","They have various colors and patterns on their exoskeletons, such as black, brown, yellow, or white, often with contrasting markings."
7,"Canidae is a family of carnivorous mammals that includes dogs, wolves, foxes, and other related animals. They are part of the order Carnivora and share certain characteristics such as long snouts, non-retractable claws, and a distinctive skull structure. Canids are found on every continent except Antarctica and have adapted to various habitats and environments. Some canids are domesticated, like dogs, while others remain wild. They play important roles in ecosystems as predators and scavengers, helping to maintain the balance of nature.","[13, 4, 7, 9, 2, 1, 9, 12, 17, 9, 14, 9, 14, 9, 14, 6, 1, 1, 9, 14]","Canidae is a family of carnivorous mammals that includes dogs, wolves, foxes, and other related animals."
8,"Dethklok is a fictional heavy metal band created for the animated television series Metalocalypse, which was produced by Adult Swim and aired from 2007 to 2013. The band consists of four members: Nathan Explosion, Skwisgaar Skwigelf, Toki Wartooth, William Murderface, and their manager, Charles Ofdensen. Each member has unique characteristics that contribute to the band's success and chaotic nature.","[13, 4, 7, 1, 1, 9, 9, 17, 2, 7, 17, 9, 9, 13, 14, 12, 4, 17, 2, 13, 13, 6, 17, 2, 10, 2, 10, 14]","Dethklok is a fictional heavy metal band created for the animated television series Metalocalypse, which was produced by Adult Swim and aired from 2007 to 2013."
9,"Vihtavuori is a hill and nature reserve located near the city of Tampere, Finland. It is known for its unique geological formations, diverse flora and fauna, and historical significance as a former military shooting range. The area covers approximately 12 square kilometers and offers various hiking trails and recreational opportunities for visitors. Vihtavuori has been designated as a Natura 2000 site due to its importance for biodiversity conservation. Additionally, the hill is home to several rare plant species, such as the Vihtavuori rampion and the Finnish cliff-grass. The history of Vihtavuori dates back thousands of years, with evidence of human activity from the Stone Age, Bronze Age, and Iron Age found in the form of stone tools, burial mounds, and other archaeological remains. During World War II, the Finnish military established a shooting","[13, 4, 7, 9, 6, 9, 13, 17, 2, 7, 9, 2, 13, 14, 13, 14]","Vihtavuori is a hill and nature reserve located near the city of Tampere, Finland."
