,base_text,model,prediction,confidence
0,"The Rufous-winged Buzzard is a bird of prey belonging to the Accipitridae family, which includes hawks",orca,human,0.5273678648296838
1,"Roni Benise is an accomplished guitarist, composer, and producer known for his unique fusion of flamenco music with various other genres such as rock, jazz, and classical. Born in Tel Aviv, Israel, he began playing the guitar at a young age and eventually moved to Los Angeles, California, where he pursued his passion for music professionally. Benise has released multiple albums showcasing his exceptional talent and versatility on the instrument, collaborating with various artists across different styles of music. He is also known for his live performances that often feature elaborate stage setups, including pyrotechnics, dancers, and other visual elements to create an immersive experience for audiences. Roni Benise's work has earned him widespread recognition and acclaim in the world of music, making him a prominent figure in the flamenco genre as well as a respected artist across various musical styles.",orca,ai,1.0
2,"A codomain is a concept in mathematics, specifically in set theory and function theory. It refers to the collection of all possible output values that a function can take for any given input value. In other words, it represents the set of elements that a function can map its inputs onto.",orca,ai,0.9997932945046397
3,"Kuala Lumpur International Airport ERL station is a train station located at the Kuala Lumpur International Airport, which serves as a connection point for passengers traveling on the Express Rail Link (ERL) system in Malaysia. The station allows easy access to and from the airport via the KLIA Ekspres and KLIA Transit trains, providing convenient transportation options for both domestic and international travelers.",orca,ai,0.9989231788415697
4,"João Artur da Silva is a Brazilian individual who has gained some level of public recognition, possibly due to his achievements or involvement in various fields such as sports, entertainment, politics, or business. However, without more specific information about him, it's difficult to provide an accurate description of his background and accomplishments.",orca,ai,1.0
5,"The great hammerhead is a large species of shark belonging to the family Sphyrnidae, known for its distinctive head shape and size. It is one of the nine existing species of hammerhead sharks and can be found in warm coastal waters across the world's oceans. The great hammerhead has a unique flat, wide, and hammer-like structure on top of its head, which houses specialized sensory organs that help it navigate and locate prey in murky or dark environments. These sharks have a powerful bite force due to their large and sharp teeth, making them efficient predators. They primarily feed on stingrays, fish, and occasionally seabirds, using their keen sense of smell and electroreception abilities to detect prey from long distances. The great hammerhead is a solitary hunter but can sometimes be found in groups called schools when food resources are abundant",orca,ai,0.9997932945046397
6,"Steve Lombardi was an American professional wrestler and bodybuilder, best known for his time with the World Wrestling Federation (WWF), now known as WWE. He performed under various ring names throughout his career, but is most famous for his role as Harry Smith's opponent in the first-ever match on Monday Night Raw in 1993. Lombardi was also a member of the tag team The Bushwhackers with Luke Williams and later became known as ""Hurricane"" when he joined WCW in the late 1990s. He passed away in 2013 at the age of 46 due to complications from surgery.",orca,ai,1.0
7,"Bang Nam Chuet is a small town located in the province of Samut Sakhon, Thailand. It is known for its rich history and cultural heritage, as well as being an important agricultural area. The town has several attractions that draw visitors from all over the world, including ancient temples, traditional markets, and beautiful natural landscapes.",orca,ai,1.0
8,"The Boran languages are a group of related languages spoken by various ethnic groups primarily in Ethiopia and Kenya. These languages belong to the Omotic branch of the Afro-Asiatic language family, which also includes other major branches such as Semitic, Cushitic, and Berber. The Boran languages consist of several dialects that vary significantly from one another but share common features in terms of grammar, vocabulary, and pronunciation. Some examples of Boran languages include Boro, Daasan, Gawwada, and Kambaata. These languages are primarily spoken by pastoralist communities who rely on livestock for their livelihoods, as well as agriculturalists in the region. The Boran languages have a rich oral tradition with various forms of poetry, proverbs, and folktales that serve to convey cultural values and historical events. Although there are efforts to preserve and promote these languages through",orca,ai,1.0
9,"Earthsiege 2 is a real-time strategy game developed by Netivex and released in 1996. The game takes place in a futuristic setting where players control various units, such as tanks, aircraft, and infantry, to complete missions and defend their base from enemy attacks. Players can build structures like barracks, factories, and power plants to produce more units and maintain their base's functionality. The game features a single-player campaign with multiple missions, each with different objectives and challenges, as well as a skirmish mode where players can compete against the AI or other human players on custom maps. Earthsiege 2 improves upon its predecessor by adding new units, abilities, and graphics while maintaining the core gameplay mechanics that made the original game popular among strategy fans.",orca,ai,1.0
