,base_text,model,prediction,confidence
0,"Hugh Good was an American politician and businessman who served as the 25th Governor of Texas from 1903 to 1907. He was born on May 1, 1855, in New York City and moved to Texas in 1882. Good was a member of the Democratic Party and was known for his support of public education and infrastructure development.

During his tenure as governor, Good worked to improve transportation infrastructure in the state, including building new roads and bridges. He also supported the establishment of a system of public schools throughout the state, which helped to increase access to education for Texans.

Good was known for his progressive policies and his support of women's suffrage. In 1905, he signed into law a bill that allowed women to vote in Texas elections. Good also worked to improve working conditions for laborers in the state, including establishing a minimum wage and regulating child labor laws.

Despite his many accomplishments during his time as governor, Good",falcon,ai,0.9997932945046397
1,"Volvo C30 is a small, compact car that was produced by the Swedish automaker Volvo from 2007 to 2012. It was designed to compete with other small hatchbacks such as the Volkswagen Golf and the Audi A3. The C30 was available in both three-door and five-door body styles, and it featured a range of engines including a 1.6-liter inline-four and a 2.0-liter inline-five.

The C30 was known for its distinctive styling, which included a sloping roofline and a large rear window. It also had a spacious interior with seating for four passengers. Despite its small size, the C30 offered good handling and performance, thanks to its lightweight construction and responsive steering.

Volvo marketed the C30 as a premium hatchback, emphasizing its luxury features such as leather seats and a high-quality sound system. However, due to slow sales and rising costs, Volvo announced in ",falcon,ai,0.9997932945046397
2,"Kyō ware is a type of pottery that was produced in Japan during the Edo period (1603-1867). It is characterized by its simple and functional design, which emphasizes the natural beauty of clay and glaze. The term ""kyō ware"" refers to a specific style of pottery that originated in the Kyō region of Japan, which is known for its high quality ceramics.

Kyō ware was made using a variety of techniques, including hand-building, wheel-throwing, and molding. It was often decorated with simple designs such as stripes, dots, and geometric patterns. The glazes used on Kyō ware were also distinctive, featuring a range of colors from earthy browns to vibrant blues and greens.

Kyō ware was highly valued during the Edo period for its durability and resistance to breakage. It was often used in everyday household items such as bowls, plates, and cups, but it was also prized by collectors for its aesthetic appeal.",falcon,ai,0.9997932945046397
3,"The Republic of Venezuela is a federal presidential representative democratic republic located in South America. It has a population of approximately 31 million people and its capital city is Caracas. The country is known for its diverse geography, including mountains, plains, and coastlines. Its economy is heavily reliant on oil exports, but it also has significant agricultural and industrial sectors. Venezuela's political system is characterized by strong presidential powers and a unicameral legislature. The country has faced political instability and economic challenges in recent years, leading to protests and calls for reform.",falcon,ai,0.9997932945046397
4,"List of tallest buildings in Halifax, Nova Scotia

1. One Mount Pleasant Square - This skyscraper is located in downtown Halifax and stands at 57 stories tall. It was completed in 2016 and is the tallest building in Halifax.
2. The Westin Nova Scotian - This hotel tower is located on Barrington Street and stands at 30 stories tall. It was completed in 2014 and is one of the most recognizable buildings in Halifax.
3. The Halifax Marriott Harbourfront Hotel - This hotel tower is located on George Street and stands at 27 stories tall. It was completed in 2012 and features a glass facade that reflects the surrounding harbor.
4. The Westin Nova Scotian - This hotel tower is located on Barrington Street and stands at 30 stories tall. It was completed in 2014 and is one of the most recognizable buildings in Halifax.
5. One Mount Pleasant Square - This skyscra",falcon,ai,1.0
5,"Eucalyptus taurina is a species of tree in the family Myrtaceae. It is native to Australia and has been widely planted for its timber and ornamental purposes. The tree can grow up to 30 meters tall and has a distinctive, smooth bark with small, white flowers that bloom in summer. Eucalyptus taurina is known for its fast growth rate and adaptability to various soil types. It is also used in traditional medicine as a remedy for respiratory ailments.",falcon,ai,0.9997932945046397
6,"Shark is a large predatory fish that belongs to the family of sharks. They are known for their streamlined bodies and sharp teeth, which they use to catch and eat other marine animals. Sharks have evolved to be apex predators in their ecosystems, and they play an important role in maintaining balance in marine food webs. Despite their fearsome reputation, sharks are not as dangerous to humans as some people believe. In fact, most shark attacks on humans are caused by species that are rarely encountered by humans, such as the great white shark. Sharks have been around for over 400 million years and can be found in oceans all over the world.",falcon,ai,0.9997932945046397
7,"Joseph Kingsbury (born 1785) was an American politician and jurist who served as a member of the United States House of Representatives from Massachusetts from 1817 to 1821. He was also a justice of the Supreme Judicial Court of Massachusetts from 1819 to 1821.

Kingsbury was born in Dedham, Massachusetts, on May 1, 1785, and attended Harvard College before studying law at the Boston Bar Association. He began his legal career as an attorney in Dedham, where he became involved in politics and served as a selectman and justice of the peace.

In 1816, Kingsbury was elected to the United States House of Representatives from Massachusetts, serving until 1821. During his time in Congress, he supported the War of 1812 and worked to improve infrastructure in his district. He also advocated for the establishment of a national university and was involved in efforts to reduce corruption in government.

After leaving",falcon,ai,0.9803694406899658
8,"Command & Conquer: Tiberian Sun is a real-time strategy video game developed by Westwood Studios and published by Electronic Arts. It was released in 1999 for Microsoft Windows, Macintosh, and PlayStation platforms. The game takes place in the fictional world of Tiberium, where players control armies of various factions, including GDI, NOD, and Scrin, to conquer and destroy their enemies.

The game features a single-player campaign mode, where players can choose from different difficulty levels and missions, as well as an online multiplayer mode, where players can compete against each other in real-time battles. The game's graphics were praised for their detailed terrain and unit models, while its sound design was also praised for its immersive atmosphere.

Command & Conquer: Tiberian Sun received generally positive reviews from critics, who praised its gameplay mechanics, graphics, and sound design. It is considered one of the best real-time strategy games",falcon,ai,0.9997932945046397
9,"Steven Clark (born 9 May 1981) is an Australian former professional footballer who played as a forward for the Perth Glory and the Western Sydney Wanderers in the A-League. He was born in Sydney, New South Wales, Australia.

Clark began his career with the Sydney-based club, the New South Wales Olympic team, before moving to Perth Glory in 2002. He spent four seasons with the club, helping them win the A-League Premiership in 2005 and 2006. In 2006, he was named the A-League's Golden Boot winner after scoring 19 goals in 32 appearances.

In 2006, Clark signed for the Western Sydney Wanderers, where he played for two seasons before joining the Australian national team. He made his debut for the Socceroos in 2007 and went on to play a total of 17 games for the national team.

Clark retired from professional football",falcon,ai,0.9934309309309309
