,base_text,sumy_pos,sumy
0,"Khalifa is an Arabic term that translates to ""successor,"" ""deputy,"" or ""steward."" It is often used in the context of Islamic leadership. In the immediate years following the death of the Prophet Muhammad, a Khalifa, also called a caliph, was chosen to lead the Muslim community. The caliphate, as their reign was called, was not purely religious, but also political, encompassing both spiritual and worldly matters. Throughout history, different interpretations of the Khalifa concept have emerged. Sunnis, for example, view the Khalifa as a political leader chosen by consensus, whereas Shiites believe the role is spiritually ordained and hereditary. Furthermore, the notion of Khalifa also pertains to mankind's stewardship of Earth in Islam. In this view, every human being is a Khalifa, tasked with the ethical and responsible care of the world. Although the traditional institution of the caliphate has diminished, the term Khalifa continues to hold significance.","[13, 4, 7, 1, 9, 12, 17, 11, 14, 17, 14, 14, 14, 9, 14, 14, 6, 14, 3, 14, 14]","Khalifa is an Arabic term that translates to ""successor,"" ""deputy,"" or ""steward."""
1,"Apodaca is a city in the Nuevo Leon state of Mexico, known for its vibrant industrial sector. It's named after the brigadier general, Salvador Apodaca, an important figure in the Mexican independence movement. It’s considered as one of Mexico's most industrious regions, hosting numerous multinational corporations. Apodaca is an integral part of the Monterrey metropolitan area, which is a booming economic center in Mexico. Besides its industrial significance, Apodaca is recognized for its educational institutions. The city is also home to General Mariano Escobedo International Airport, serving the Metropolitan area of Monterrey. The city's infrastructure, including transportation, health and education, has grown significantly in recent years. Apodaca maintains a blend of modernization and culture, with its many festivals, parks and recreational areas. Despite its industrial prominence, Apodaca has managed to preserve several heritage sites. Overall, Apodaca represents a dynamic blend of history, industrialization and culture in northeastern Mexico.","[13, 4, 7, 9, 2, 7, 13, 13, 9, 2, 13, 14, 17, 2, 12, 1, 1, 9, 14]","Apodaca is a city in the Nuevo Leon state of Mexico, known for its vibrant industrial sector."
2,"Jolina is a feminine name that has several origins. In Scandinavian countries, it is considered a variant of the name Jolene, rooting from the name 'Joel' which means 'God will add'. Meanwhile, in Poland, it is understood as a variant of the name 'Jolanta.' This name `Jolanta` is a variant of 'Yolanda,' which denotes a violet flower. Furthermore, it's most common in countries like Germany, Poland, and the United States. Interestingly, those who possess the name Jolina are often thought to be creative and enjoy expressing themselves through artistic activities. They have a warm and affectionate nature, and are often quite generous. However, bear in mind that the name meaning can significantly vary based on the country and cultural beliefs. The interpretation and usage of the name Jolina greatly depend on the family's personal connection and background. Regardless, the name Jolina is currently considered to be quite uncommon and unique.","[3, 14, 12, 4, 3, 1, 2, 9, 2, 13, 14, 13, 14, 6, 7, 13, 13, 14]","Furthermore, it's most common in countries like Germany, Poland, and the United States."
3,"Chattuarii is an historical term referring to one of the Germanic tribes that lived during ancient times. Little is known about them, but recorded accounts by Roman writers are the primary source of information available today. The Chattuarii lived in the area that is now northwestern Germany, around the Rhine River. They are most known for their interactions with the Roman Empire. Notably, they were involved in the Battle of the Teutoburg Forest, a significant conflict in 9 AD where Germanic tribes ambushed and defeated three Roman legions. The tribe was eventually absorbed by the Franks and lost their distinct cultural identity. Their name, Chattuarii, means ""Dwellers of the Catuarian Forest"" in Old German. The Chattuarii are often associated with the Chatti, another Germanic tribe, due to the similarity in their names. However, the exact connection and the extent of their relationships with other tribes remain unclear due to limited historical documentation.","[13, 4, 7, 1, 9, 17, 2, 10, 2, 7, 1, 9, 12, 17, 2, 1, 9, 14]",Chattuarii is an historical term referring to one of the Germanic tribes that lived during ancient times.
4,"I'm sorry for any confusion but it seems there may be a misunderstanding or typographical error. The term ""Aneflus"" does not appear to have a definition in standard English dictionaries, medical glossaries, or global name databases. It's important to ensure the spelling and context of the word are accurate. There may be a chance the term is related to a specific sector or industry jargon, or it might be a name or place in a certain language or region. Therefore, providing the intended context of the term ""Aneflus"" would be tremendously helpful for me to give a more concise and direct explanation. Please check the term again or provide more context so I may assist you better.","[12, 4, 1, 2, 7, 9, 6, 12, 17, 12, 4, 4, 7, 9, 6, 1, 9, 14]",I'm sorry for any confusion but it seems there may be a misunderstanding or typographical error.
5,"Stretton-under-Fosse is a small village and civil parish in Warwickshire, England. Its notable character is largely rural, showcasing traditional English countryside charm. Although the settlement is small, it boasts a rich history, with records dating back to the Domesday Book in 1086. The term 'Stretton' is derived from old English, indicating a 'settlement on a Roman road'. As the name suggests, it is situated under 'Fosse,' referring to Fosse Way, a notable Roman road in the UK. Today, the village is home to a close-knit community of residents. Traditional English houses, local amenities, and a quiet, friendly atmosphere make it a distinctive place. It falls under the administrative burden of Rugby borough council. Its relative seclusion and serenity make it an ideal place for those wanting a peaceful rural lifestyle. However, it maintains good transport links, keeping it connected to nearby towns and cities.","[13, 14, 2, 14, 13, 4, 7, 1, 9, 6, 1, 9, 2, 13, 14, 13, 14]","Stretton-under-Fosse is a small village and civil parish in Warwickshire, England."
6,"Helluomorphoides is a term used in paleontology. Specifically, it is the name of a genus of extinct arthropods, which are creatures like insects, spiders, and crustaceans. This genus falls under the trilobite category, a form of arthropod that existed between 521 and 251 million years ago. The trilobites are best known for their distinctive three-lobed, three-segmented form. Helluomorphoides, however, is a bit of a special case. Unlike its three-lobed relatives, Helluomorphoides was recognized by a crescent or semi-circular shape. Its remains were first discovered in shale deposits, which hints that it lived in an ancient marine environment. Trilobites, including Helluomorphoides, went extinct in the mass extinction event at the end of the Permian period. Despite their extinction, the remains of these creatures are frequently found and studied by paleontologists and are significant for their contributions to understanding life's history on Earth. Helluomorphoides, like other trilobites, forms a key part of the fossil record.","[7, 9, 17, 2, 7, 1, 9, 14, 7, 9, 2, 9, 12, 17, 2, 10, 6, 10, 10, 9, 3, 14]","This genus falls under the trilobite category, a form of arthropod that existed between 521 and 251 million years ago."
7,"Canidae is essentially the scientific term for the biological family that houses species like dogs, wolves, foxes, and other similar animals. This biological family is a part of the order Carnivora, which comprises species that are either exclusive meat-eaters or have a diet that includes meat. Canidae is a unique category of mammals and it is distinguished by the features of the animals within it. Members of the Canidae family typically have long snouts, upright ears and a bushy tail. The animal's body structure allows for swift running which aids in hunting. Canids are known to be social animals that live in groups. Communication via various vocalizations, scent markings and body language play a vital role in their society. Predominantly, they exhibit a tendency of pair-bonding and parental care for their offspring. The Canidae family has about 36 living species, and its members are found all around the world in different habitats. They are an incredibly adaptive family, evolving over time to survive in various environments.","[9, 2, 7, 13, 9, 3, 17, 1, 9, 14, 1, 9, 6, 7, 1, 9, 14]","Members of the Canidae family typically have long snouts, upright ears and a bushy tail."
8,"Dethklok is a virtual band that appeared in the animated TV show called 'Metalocalypse’, created by Brendon Small and Tommy Blacha. The band consists of five fictional members who are often illustrated performing and creating death metal music. Beyond their existence in animation, Dethklok also released several real-life music albums that made it to the Billboard charts. This led to the unique situation of a fictional band having significant real-world success. The band's music is composed by the show's creator, Brendon Small, who is also the voice behind most of Dethklok's characters. Each band member has a distinct personality and role in the group as depicted in the series. The band's success amongst fans and viewers eventually led to live concerts with the animated band projected on stage. Despite being essentially cartoon characters, Dethklok has made an indelible mark in the world of heavy metal music. Their appeal lies in both their music and the satirical depiction of the rockstar lifestyle in the series. In essence, Dethklok is a fascinating blend of animation, music, and comedy.","[13, 4, 7, 1, 9, 12, 17, 2, 7, 17, 9, 9, 17, 14, 9, 14, 14, 17, 2, 13, 13, 6, 13, 13, 14]","Dethklok is a virtual band that appeared in the animated TV show called 'Metalocalypse’, created by Brendon Small and Tommy Blacha."
9,"Vihtavuori is a brand name that is primarily known for its high-quality gun powders used in ammunition manufacturing and reloading. This Finnish brand has been producing powders for over a century, making it one of the oldest manufacturers in the industry. They provide explosive powders that are used in different types of ammunition like shotgun shells, pistol cartridges, and rifle cartridges. It's often favored by professional shooters and hunters for its consistent performance. Furthermore, Vihtavuori powders are esteemed worldwide for their clean burning properties, which result in less gun maintenance. They also possess a great shelf-life. Besides, each type of Vihtavuori powder is designed to work in specific weather conditions. The brand is a part of the larger Finnish company called Nammo. Over the years, Vihtavuori has developed a reputation for reliability and precision in their products. Therefore, Vihtavuori is a globally recognized and highly respected name in the ammunition industry.
","[3, 14, 13, 9, 4, 17, 3, 2, 12, 1, 9, 9, 14, 12, 17, 2, 1, 9, 9, 14]","Furthermore, Vihtavuori powders are esteemed worldwide for their clean burning properties, which result in less gun maintenance."
